18.09 open;18.09 max;18.09 min;18.09 close;18.10 open;18.10 max;18.10 min;18.10 close;20.11 open;20.11 max;20.11 min;20.11 close;18.12 open;18.12 max;18.12 min;18.12 close
109860;109880;109850;109850;114390;114410;114360;114380;113080;113150;113070;113100;109360;109360;109340;109360
109850;109860;109850;109860;114380;114400;114360;114370;113110;113140;113070;113070;109360;109370;109300;109320
109860;109880;109850;109860;114370;114370;114320;114340;113070;113090;113060;113080;109340;109350;109330;109350
109860;109860;109830;109840;114340;114370;114330;114360;113070;113080;113000;113020;109350;109360;109320;109350
109850;109860;109840;109850;114370;114440;114360;114420;113040;113040;112990;113000;109350;109380;109320;109370
109860;109870;109860;109870;114420;114440;114420;114430;113000;113050;112980;113010;109370;109370;109330;109340
109880;109880;109840;109850;114440;114440;114400;114410;113030;113050;113010;113030;109340;109340;109280;109290
109830;109870;109830;109860;114400;114420;114350;114360;113030;113060;113020;113040;109290;109340;109280;109330
109870;109890;109850;109880;114360;114390;114360;114390;113040;113040;113010;113030;109330;109360;109320;109360
109870;109960;109870;109930;114390;114400;114360;114370;113030;113050;113020;113040;109360;109420;109350;109380
109930;109960;109900;109920;114370;114370;114300;114310;113040;113070;113030;113050;109370;109450;109370;109380
109920;109940;109900;109900;114310;114390;114300;114390;113060;113120;113040;113050;109390;109440;109380;109440
109900;109940;109900;109920;114390;114420;114380;114420;113060;113110;113050;113110;109440;109470;109420;109460
109930;109940;109900;109900;114420;114420;114340;114350;113100;113180;113100;113140;109440;109470;109410;109460
109910;109980;109910;109940;114360;114360;114310;114330;113140;113190;113130;113180;109450;109470;109440;109450
109940;109950;109930;109950;114330;114360;114310;114360;113170;113190;113120;113140;109450;109460;109380;109400
109970;109990;109960;109970;114350;114380;114310;114340;113130;113150;113120;113140;109390;109460;109390;109440
109970;109980;109970;109980;114330;114340;114260;114270;113150;113180;113140;113170;109450;109460;109430;109440
109990;110000;109980;110000;114270;114300;114250;114260;113180;113230;113180;113180;109440;109460;109430;109450
110000;110000;109980;109990;114270;114280;114170;114210;113190;113200;113160;113160;109450;109480;109430;109480
109990;110060;109990;110060;114210;114230;114170;114170;113160;113170;113110;113150;109480;109560;109460;109550
110040;110070;110020;110060;114180;114210;114160;114210;113130;113170;113130;113140;109560;109560;109470;109490
110060;110100;110030;110070;114190;114190;114170;114170;113150;113160;113080;113090;109490;109610;109460;109580
110070;110100;110060;110100;114170;114260;114170;114250;113080;113110;113030;113080;109580;109730;109540;109700
110100;110190;110080;110160;114260;114270;114200;114260;113080;113100;113060;113080;109710;109760;109670;109730
110160;110200;110150;110160;114250;114290;114210;114220;113080;113140;113070;113140;109730;109740;109650;109660
110170;110180;110160;110160;114230;114240;114190;114200;113130;113150;113100;113110;109660;109850;109660;109850
110160;110300;110150;110230;114200;114210;114160;114190;113110;113110;113030;113040;109840;110000;109830;110000
110220;110230;110160;110160;114190;114190;114150;114170;113040;113080;113030;113040;110000;110020;109860;109890
110180;110320;110170;110280;114170;114190;114120;114120;113050;113070;112990;113030;109880;109960;109840;109950
110280;110300;110200;110220;114130;114140;114060;114120;113040;113070;113020;113070;109940;109990;109890;109960
110220;110240;110200;110200;114100;114110;114070;114090;113070;113100;113050;113070;109950;109970;109820;109840
110220;110240;110200;110210;114090;114180;114080;114160;113070;113070;113010;113050;109840;109890;109820;109850
110210;110230;110200;110200;114160;114190;114140;114150;113050;113060;112980;113020;109840;109870;109830;109850
110200;110200;110170;110190;114180;114270;114170;114210;113020;113030;112890;112920;109850;109870;109820;109870
110190;110240;110190;110200;114210;114230;114190;114210;112940;112940;112870;112910;109860;109880;109830;109830
110200;110240;110200;110220;114230;114230;114190;114220;112910;112940;112900;112940;109840;109870;109830;109830
110220;110260;110200;110220;114220;114230;114150;114210;112940;112950;112890;112940;109830;109890;109820;109820
110220;110240;110180;110230;114220;114260;114200;114230;112940;112990;112920;112990;109820;109840;109760;109770
110240;110250;110160;110250;114230;114290;114230;114280;112990;113000;112950;112990;109770;109830;109760;109820
110230;110230;110140;110160;114280;114280;114220;114230;112980;112990;112950;112970;109810;109860;109800;109820
110180;110210;110140;110150;114240;114270;114240;114260;112960;112990;112940;112960;109820;109840;109770;109780
110130;110140;110110;110130;114260;114330;114230;114320;112960;112970;112910;112930;109790;109810;109740;109810
110140;110160;110110;110120;114320;114340;114250;114260;112930;112970;112910;112970;109810;109840;109810;109820
110110;110120;110020;110030;114260;114260;114190;114190;112980;113000;112940;112970;109810;109870;109800;109840
110040;110080;110020;110050;114180;114200;114110;114130;112980;113000;112950;112980;109840;109850;109800;109800
110040;110060;110020;110050;114130;114140;114070;114100;112970;112990;112960;112970;109800;109870;109800;109870
110040;110050;110040;110050;114090;114160;114070;114100;112970;112970;112930;112940;109870;109920;109870;109910
110050;110050;109980;109980;114100;114100;114070;114100;112950;112970;112850;112880;109920;109960;109910;109950
109980;110030;109960;110010;114100;114110;114070;114080;112880;112880;112810;112830;109950;109970;109910;109910
110010;110020;109950;109960;114080;114100;114050;114080;112830;112870;112820;112870;109930;109940;109860;109870
109970;110030;109970;110030;114080;114120;114070;114080;112870;112880;112630;112650;109880;109890;109820;109830
110030;110070;110010;110070;114080;114170;114060;114150;112650;112720;112580;112690;109820;109840;109800;109830
110070;110090;110050;110050;114150;114180;114120;114130;112690;112700;112640;112670;109840;109890;109830;109880
110030;110030;109970;109980;114130;114150;114100;114110;112670;112720;112650;112700;109870;109880;109860;109870
